company_id,company_name,total_employees,engineer_count,engineering_percentage,tech_strength_score,size_category,sector,funding_stage,region,last_updated,description
synthetic_15,TechBridge Digital,50,34,69.3,88.2,small,Database Technology,Series A/B,Research Triangle,2025-08-02,Growing cloud infrastructure company with strong technical team (69.3% engineers)
synthetic_4,APIHub Software,38,26,69.7,85.3,small,Cloud Infrastructure,Series A/B,Denver,2025-08-02,Growing cloud infrastructure company with strong technical team (69.7% engineers)
synthetic_36,APISync Technologies,38,26,69.5,85.2,small,Database Technology,Series A/B,Denver,2025-08-02,Growing devops tools company with strong technical team (69.5% engineers)
synthetic_22,APIFlow Labs,17,13,78.0,84.2,small,Cloud Infrastructure,Seed/Series A,Los Angeles,2025-08-02,Growing data analytics company with strong technical team (78.0% engineers)
synthetic_48,DevMesh Engine,46,29,64.0,83.6,small,AI/ML Platform,Series A/B,Research Triangle,2025-08-02,Growing database technology company with strong technical team (64.0% engineers)
synthetic_24,DataSync Innovations,44,28,64.6,83.5,small,Enterprise Software,Series A/B,Boston,2025-08-02,Growing ai/ml platform company with strong technical team (64.6% engineers)
synthetic_49,DataMesh Platform,9,7,79.6,82.6,small,Enterprise Software,Seed/Series A,Austin,2025-08-02,Growing devops tools company with strong technical team (79.6% engineers)
synthetic_26,CloudCore Systems,86,55,64.4,82.2,small,Data Analytics,Series B/C,Los Angeles,2025-08-02,Growing enterprise software company with strong technical team (64.4% engineers)
synthetic_5,CodeFlow Systems,11,8,76.5,81.5,small,Enterprise Software,Seed/Series A,Austin,2025-08-02,Growing api management company with strong technical team (76.5% engineers)
synthetic_14,TechFlow Platform,32,21,65.7,81.2,small,DevOps Tools,Series A/B,Los Angeles,2025-08-02,Growing api management company with strong technical team (65.7% engineers)
synthetic_8,CloudFlow Analytics,106,63,59.5,79.8,medium,Database Technology,Series B/C,Denver,2025-08-02,Growing developer tools company with strong technical team (59.5% engineers)
synthetic_10,TechCore Logic,47,27,57.9,79.7,small,Monitoring,Series A/B,San Francisco,2025-08-02,Growing monitoring company with strong technical team (57.9% engineers)
synthetic_39,CloudMesh Platform,35,21,62.6,79.7,small,Automation,Series A/B,Research Triangle,2025-08-02,Growing ai/ml platform company with strong technical team (62.6% engineers)
synthetic_16,DataCore Systems,15,10,70.9,79.4,small,Enterprise Software,Seed/Series A,San Francisco,2025-08-02,Growing business intelligence company with strong technical team (70.9% engineers)
synthetic_35,DataCore Networks,112,64,57.9,78.9,medium,Business Intelligence,Series B/C,Research Triangle,2025-08-02,Growing cloud infrastructure company with strong technical team (57.9% engineers)
synthetic_37,DataFlow Digital,36,21,60.8,78.8,small,Developer Tools,Series A/B,Chicago,2025-08-02,Growing data analytics company with strong technical team (60.8% engineers)
synthetic_7,CodeSync Labs,20,13,66.9,78.6,small,Data Analytics,Seed/Series A,Austin,2025-08-02,Growing api management company with strong technical team (66.9% engineers)
synthetic_46,DataLink Analytics,47,26,56.2,78.5,small,DevOps Tools,Series A/B,Research Triangle,2025-08-02,Growing automation company with strong technical team (56.2% engineers)
synthetic_30,APICore Networks,22,14,65.6,78.4,small,Cybersecurity,Series A/B,Denver,2025-08-02,Growing monitoring company with strong technical team (65.6% engineers)
synthetic_33,APIFlow Analytics,37,21,58.8,77.8,small,Cloud Infrastructure,Series A/B,Austin,2025-08-02,Growing cloud infrastructure company with strong technical team (58.8% engineers)
synthetic_44,DataLink Works,17,11,66.4,77.6,small,DevOps Tools,Seed/Series A,Research Triangle,2025-08-02,Growing developer tools company with strong technical team (66.4% engineers)
synthetic_3,TechStack Labs,30,18,60.4,77.4,small,DevOps Tools,Series A/B,San Francisco,2025-08-02,Growing devops tools company with strong technical team (60.4% engineers)
synthetic_50,DevFlow Platform,10,6,69.4,77.1,small,Automation,Seed/Series A,Research Triangle,2025-08-02,Growing business intelligence company with strong technical team (69.4% engineers)
synthetic_25,CodeSync Technologies,7,4,70.4,76.8,small,Enterprise Software,Seed/Series A,Los Angeles,2025-08-02,Growing cybersecurity company with strong technical team (70.4% engineers)
synthetic_2,TechStack Solutions,12,8,66.9,76.7,small,DevOps Tools,Seed/Series A,Los Angeles,2025-08-02,Growing cybersecurity company with strong technical team (66.9% engineers)
synthetic_42,CloudFlow Solutions,28,16,60.5,76.6,small,Monitoring,Series A/B,Austin,2025-08-02,Growing business intelligence company with strong technical team (60.5% engineers)
synthetic_18,CloudCore Labs,15,9,66.0,76.6,small,Cloud Infrastructure,Seed/Series A,Boston,2025-08-02,Growing devops tools company with strong technical team (66.0% engineers)
